rank,run_id,model,feature_set,train_period,valid_period,test_period,data_start,data_end,test_wrmse,test_wmae,test_diracc
1,20260118_111753,Ensemble-weighted_average,all_models,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.017903855360337038,0.01414465239503286,0.5466666666666666
2,20260118_092009,Ensemble-weighted_average,all_models,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.017903856661328918,0.014144653197909784,0.5466666666666666
3,20260115_213310,Ensemble-weighted_average,all_models,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.017942027808517773,0.01292293190495401,0.5684647302904564
4,20260115_205014,Ensemble-weighted_average,all_models,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.017945186391720276,0.012931843051900822,0.5684647302904564
5,20260115_211034,Ensemble-weighted_average,all_models,2015-12-31 - 2020-12-31,2021-01-01 - 2022-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.017985836440652134,0.012913291677442245,0.5705394190871369
6,20260115_222938,Ensemble-weighted_average,all_models,2005-12-31 - 2020-12-31,2021-01-01 - 2023-12-31,2023-01-01 - latest,2023-11-20,2026-01-15,0.019099527755636114,0.013850630499689275,0.529331514324693
7,20260118_111753,XGBoost,xgb_selected,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0198335955146994,0.0156272021134888,0.5555555555555556
8,20260118_092009,XGBoost,xgb_selected,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.019833596748772,0.0156272029896108,0.5555555555555556
9,20260118_111753,LightGBM,xgb_selected,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.019896768010192,0.0156684087841433,0.5432098765432098
10,20260118_092009,LightGBM,xgb_selected,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0198967699067163,0.0156684102735505,0.5432098765432098
11,20260118_111753,BASELINE_ZERO,baseline,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.019983748548604,0.0157294831157049,0.0123456790123456
12,20260118_092009,BASELINE_ZERO,baseline,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.019983748548604,0.0157294831157049,0.0123456790123456
13,20260118_111753,Hybrid-Seq,neural_40,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.020478444173932,0.0161824617534875,0.4
14,20260118_111753,Hybrid-Seq,neural_80,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.020478444173932,0.0161824617534875,0.4
15,20260118_092009,Hybrid-Seq,neural_40,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0204784460365772,0.0161824636161327,0.4
16,20260118_092009,Hybrid-Seq,neural_80,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0204784460365772,0.0161824636161327,0.4
17,20260118_111753,GRU,neural_80,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0205334685742855,0.0162289217114448,0.4
18,20260118_111753,GRU,neural_40,2023-12-31 - 2025-05-20,2025-05-21 - 2025-09-10,2025-09-11 - latest,2023-11-20,2026-01-15,0.0205334685742855,0.0162289217114448,0.4
